Neighborhood,Bar,Burger Joint,Café,Coffee Shop,French Restaurant,Italian Restaurant,Music Venue,Pizza Place,Restaurant,Total
Minervabuurt Midden,1,0,1,0,0,4,0,0,0,6
Staalmanbuurt,0,0,0,3,0,0,0,0,2,5
Amstelkwartier Zuid,1,0,0,0,0,0,0,0,4,5
Amstelkwartier West,1,0,0,0,0,0,0,0,4,5
Bloemenbuurt Zuid,0,0,3,0,0,0,0,1,1,5
Bloemenbuurt Noord,0,0,2,0,0,0,0,2,1,5
Rechte H-buurt,0,0,1,1,0,2,0,1,0,5
VU-kwartier,0,0,2,2,0,0,0,0,1,5
Laan van Spartaan,0,0,0,1,0,0,0,0,4,5
Zuidoostkwadrant Indische buurt,0,0,1,3,0,0,0,0,1,5
Kolenkitbuurt Zuid,0,0,1,1,0,0,0,0,3,5
Frederik Hendrikbuurt Zuidwest,1,0,0,3,0,1,0,0,0,5
Wittenburg,0,0,2,0,0,1,1,0,1,5
Java-eiland,0,0,2,1,0,1,1,0,0,5
Oostelijke Handelskade,0,0,2,2,0,1,0,0,0,5
Bedrijventerrein Hamerstraat,0,1,2,0,1,0,1,0,0,5
Rijnbuurt West,0,0,3,1,0,0,0,0,1,5
Minervabuurt Zuid,1,0,1,0,0,2,0,0,1,5
Amstel III deel A/B Noord,0,0,2,2,0,0,0,0,1,5
Hoofdcentrum Zuidoost,2,0,0,1,0,0,2,0,0,5
Delflandpleinbuurt Oost,2,0,1,0,0,0,0,0,1,4
Beethovenbuurt,0,0,1,1,0,1,0,0,1,4
Amstelkwartier Noord,0,0,1,0,0,1,0,0,2,4
Jacques Veldmanbuurt,0,1,0,2,0,1,0,0,0,4
Lucas/Andreasziekenhuis e.o.,0,0,1,1,0,0,0,0,2,4
Buurt 2,0,1,2,0,0,0,0,1,0,4
Diepenbrockbuurt,0,0,1,1,0,1,0,0,1,4
Vogelbuurt Zuid,0,1,0,0,0,0,1,0,2,4
Hakfort/Huigenbos,0,0,1,3,0,0,0,0,0,4
Minervabuurt Noord,0,0,1,0,0,3,0,0,0,4
Buiksloterham,2,0,1,1,0,0,0,0,0,4
Zamenhofstraat e.o.,0,0,1,0,1,0,1,0,0,3
Prinses Irenebuurt,0,0,0,1,0,2,0,0,0,3
Sloterdijk II,0,0,1,1,0,0,1,0,0,3
Veluwebuurt,0,0,0,1,0,1,0,0,1,3
Science Park Zuid,0,0,0,2,0,0,0,0,1,3
Rembrandtpark Zuid,1,0,1,0,0,0,0,0,1,3
Wildeman,0,0,0,1,0,0,0,0,2,3
Riekerhaven,0,0,0,0,0,1,0,0,2,3
Schipluidenbuurt,0,0,1,0,0,1,0,0,1,3
AMC,0,0,0,2,0,0,0,0,1,3
Buurt 5 Noord,0,0,1,0,0,0,0,1,1,3
Delflandpleinbuurt West,0,0,0,2,0,1,0,0,0,3
F-buurt,0,0,1,0,0,2,0,0,0,3
Kattenburg,0,0,1,0,0,1,1,0,0,3
De Klenckebuurt,0,0,1,1,0,0,0,1,0,3
Buitenveldert Oost Midden,0,0,1,1,0,0,0,0,1,3
Bedrijventerrein Sloterdijk I,0,0,1,0,0,0,1,0,1,3
Bedrijventerrein Schinkel,0,0,0,0,0,1,0,0,2,3
Bedrijvencentrum Westerkwartier,0,0,0,0,0,0,1,0,2,3
Beatrixpark,1,0,0,0,0,0,0,0,2,3
Buurt 3,0,1,1,0,0,0,0,1,0,3
Amstel III deel C/D Zuid,0,0,0,0,0,0,0,0,3,3
Buurt 4 Oost,0,0,1,1,0,0,0,0,1,3
Harmoniehofbuurt,0,1,0,1,0,1,0,0,0,3
Park Haagseweg,0,0,1,1,0,0,0,0,1,3
Haveneiland Noord,0,0,0,1,0,0,0,1,1,3
Middenmeer Zuid,0,0,2,0,0,0,0,0,1,3
De Kleine Wereld,0,0,0,1,0,0,0,0,1,2
De Wetbuurt,0,0,0,0,1,0,0,1,0,2
Plan van Gool,0,0,0,1,0,0,0,0,1,2
Dorp Sloten,0,0,0,0,0,0,0,0,2,2
Park de Mees,0,0,1,0,0,0,0,1,0,2
Vliegenbos,1,0,1,0,0,0,0,0,0,2
Gaasperdam Noord,0,0,0,0,0,1,0,1,0,2
Gaasperpark,0,0,0,0,0,0,0,0,2,2
Grunder/Koningshoef,1,1,0,0,0,0,0,0,0,2
G-buurt Oost,1,1,0,0,0,0,0,0,0,2
Buitenveldert Midden Zuid,0,0,0,0,1,1,0,0,0,2
Buitenveldert West Midden,0,0,0,1,0,0,0,0,1,2
Holendrecht West,0,0,0,0,0,1,0,1,0,2
Buikslotermeerplein,0,0,0,1,0,0,0,0,1,2
Weespertrekvaart,0,0,0,0,0,0,1,1,0,2
Buiksloterdijk West,0,0,1,0,0,0,0,1,0,2
Westerdokseiland,0,0,0,0,0,0,0,0,2,2
Westhaven Zuid,0,0,0,0,0,0,2,0,0,2
Bijlmermuseum Noord,1,1,0,0,0,0,0,0,0,2
Betondorp,0,0,1,0,0,0,0,0,1,2
Zeeburgereiland Noordoost,0,1,1,0,0,0,0,0,0,2
Zuiderhof,0,0,0,1,0,0,0,0,1,2
Amstel III deel A/B Zuid,0,0,0,0,0,0,0,0,2,2
Alfa-driehoek,0,0,0,0,0,0,1,0,1,2
Zuidwestkwadrant Osdorp Noord,0,0,2,0,0,0,0,0,0,2
Haveneiland Zuidwest/Rieteiland West,0,0,0,0,0,2,0,0,0,2
Tuindorp Frankendael,0,0,1,0,1,0,0,0,0,2
Houthavens West,0,0,0,0,0,0,0,1,1,2
Markthallen,0,0,0,1,0,0,0,0,1,2
Science Park Noord,0,0,1,0,0,0,0,0,1,2
Koningin Wilhelminaplein,0,0,1,0,0,1,0,0,0,2
Kop Zuidas,0,0,0,0,0,1,0,0,1,2
Landlust Zuid,1,0,1,0,0,0,0,0,0,2
Louis Crispijnbuurt,0,1,1,0,0,0,0,0,0,2
Marine-Etablissement,0,0,1,1,0,0,0,0,0,2
Medisch Centrum Slotervaart,0,0,0,0,0,0,0,0,2,2
Slotermeer Zuid,0,0,1,0,0,0,0,1,0,2
Rijnbuurt Midden,0,0,2,0,0,0,0,0,0,2
Noordoever Sloterplas,0,0,0,0,0,0,0,1,1,2
Riekerpolder,0,0,0,1,0,0,0,0,1,2
Osdorpplein e.o.,0,0,1,1,0,0,0,0,0,2
Reigersbos Midden,0,0,1,1,0,0,0,0,0,2
Papaverweg e.o.,0,0,0,0,0,0,0,0,2,2
Kolenkitbuurt Noord,0,0,1,0,0,0,0,0,1,2
Zuidwestkwadrant Osdorp Zuid,0,0,1,0,0,1,0,0,0,2
KNSM-eiland,0,0,0,0,0,0,0,1,1,2
Kelbergen,0,0,0,0,0,0,1,0,0,1
Buiksloterdijk Oost,0,0,1,0,0,0,0,0,0,1
Bretten West,0,0,0,0,0,0,1,0,0,1
Bretten Oost,0,0,0,0,0,0,1,0,0,1
Noorder IJplas,0,0,1,0,0,0,0,0,0,1
Bijlmermuseum Zuid,1,0,0,0,0,0,0,0,0,1
IJsbaanpad e.o.,0,0,0,0,0,0,0,0,1,1
Sporenburg,0,0,1,0,0,0,0,0,0,1
Sportpark Middenmeer Noord,0,0,1,0,0,0,0,0,0,1
Oostoever Sloterplas,0,0,0,0,0,0,0,0,1,1
Osdorp Midden Zuid,0,0,1,0,0,0,0,0,0,1
Bedrijvencentrum Osdorp,0,0,1,0,0,0,0,0,0,1
Woon- en Groengebied Sloterdijk,0,0,1,0,0,0,0,0,0,1
Steigereiland Zuid,0,0,0,0,0,0,0,0,1,1
Banne Zuidwest,0,0,0,0,0,0,0,0,1,1
Overbraker Binnenpolder,0,0,0,0,0,0,0,0,1,1
Banne Noordwest,0,0,0,0,0,0,0,0,1,1
Architectenbuurt,1,0,0,0,0,0,0,0,0,1
Amsterdamse Bos,0,0,0,0,0,0,1,0,0,1
Reigersbos Noord,0,0,0,0,0,0,0,1,0,1
Haveneiland Oost,0,0,0,0,0,0,0,1,0,1
Overtoomse Veld Noord,0,0,0,0,0,0,0,0,1,1
