,Venue,Venue Latitude,Venue Longitude,Venue Category
13199,Foodbar 63 Graden,52.35276733958988,4.847958683967589,Italian Restaurant
13208,Bar Kosta,52.3580162,4.8556651,Bar
13211,Oslo beers,52.357702,4.854299,Restaurant
13212,Pomorosso,52.35440463565261,4.855603461644027,Italian Restaurant
13214,Lunchroom Grannies,52.350854,4.849708,Café
13216,Affourtit,52.352201,4.859673,French Restaurant
13218,MOER,52.35723931073423,4.8553047504473605,Restaurant
13227,Domino's Pizza,52.35058442658978,4.849259273702046,Pizza Place
13234,Helder,52.347995980752586,4.84747628307851,Restaurant
13235,The Happy Bull,52.35105957432971,4.851467610485115,Burger Joint
13238,Stach Stadionplein,52.343980463165856,4.857304484498252,Coffee Shop
13240,Jose Mollura,52.348524776013534,4.85758678861893,Coffee Shop
13244,Bar Alt,52.34419,4.857705799999962,Restaurant
13256,Lunchroom Grannies,52.350854,4.849708,Café
13257,Jack Dish,52.34432617869033,4.858369304510183,Café
13262,The Magpie,52.34942447808715,4.848860724751284,Bar
13264,Restaurant Zuid,52.345555549935476,4.85923248965425,Restaurant
13274,Spuntino,52.35100674548903,4.8546042056706655,Pizza Place
13283,Domino's Pizza,52.35058442658978,4.849259273702046,Pizza Place
13291,Dignita Restaurant,52.351773951293886,4.857267008341895,Café
13293,De Vondeltuin,52.3548451246037,4.856622235165732,Restaurant
13296,Ron Gastrobar,52.35209289158123,4.856696307003784,Restaurant
13297,OCCII,52.35436312611813,4.855535332944741,Music Venue
13303,Scottadito Specialita,52.35299722936886,4.856179434060544,Italian Restaurant
13305,SOTTO - Pizza Legàle,52.3528900195878,4.8561415469808535,Pizza Place
13306,Café Bedier,52.35235926684255,4.856600272087335,Bar
13309,Affourtit,52.352201,4.859673,French Restaurant
13313,Anne&Max,52.352007359219954,4.856219892427335,Coffee Shop
13315,Café Schinkelhaven,52.354727780664405,4.855274355775692,Café
13322,Pomorosso,52.35440463565261,4.855603461644027,Italian Restaurant
13325,De Vondeltuin,52.3548451246037,4.856622235165732,Restaurant
13330,De Pizzabakkers,52.358165947364,4.85711238039528,Pizza Place
13334,OCCII,52.35436312611813,4.855535332944741,Music Venue
13340,Gustatio,52.358427,4.858795,Italian Restaurant
13342,schuurmanoomkensgrassotti,52.358189,4.856718,Coffee Shop
13346,Bar Kosta,52.3580162,4.8556651,Bar
13348,Forno Communale,52.35969387220716,4.859950240072748,Italian Restaurant
13351,Café Schinkelhaven,52.354727780664405,4.855274355775692,Café
13354,Scottadito Specialita,52.35299722936886,4.856179434060544,Italian Restaurant
13356,SOTTO - Pizza Legàle,52.3528900195878,4.8561415469808535,Pizza Place
13358,Adam,52.35801497581497,4.856638933518454,French Restaurant
13361,Kaap De Goede Hoop,52.35846973153863,4.858074725381911,Restaurant
13363,Café Bedier,52.35235926684255,4.856600272087335,Bar
13369,Fondue & Fondue,52.359271119783244,4.861151368079241,French Restaurant
13373,Affourtit,52.352201,4.859673,French Restaurant
13376,Cafe de Overtoom,52.35929543403729,4.861238355825815,Bar
13378,Pomorosso,52.35440463565261,4.855603461644027,Italian Restaurant
13380,MOER,52.35723931073423,4.8553047504473605,Restaurant
13382,Frenzi Cucina,52.35853895056851,4.858880287921454,Restaurant
13387,Kinderkookkafé,52.359267581648055,4.864946671762734,Café
13392,Stach Stadionplein,52.343980463165856,4.857304484498252,Coffee Shop
13396,Bar Alt,52.34419,4.857705799999962,Restaurant
13408,Jack Dish,52.34432617869033,4.858369304510183,Café
13411,MaMa Kelly,52.34233669789548,4.854373892387414,Restaurant
13415,Jose Mollura,52.348524776013534,4.85758678861893,Coffee Shop
13416,Restaurant Zuid,52.345555549935476,4.85923248965425,Restaurant
13438,MaMa Kelly,52.34233669789548,4.854373892387414,Restaurant
13450,Spaghetteria Olympiaplein,52.34620309395684,4.8670930699232695,Italian Restaurant
13452,Stach Stadionplein,52.343980463165856,4.857304484498252,Coffee Shop
13454,Bar Alt,52.34419,4.857705799999962,Restaurant
13457,Marathonweg Restaurant,52.3485413,4.8609847,Restaurant
13460,Jack Dish,52.34432617869033,4.858369304510183,Café
13463,Café Kiebêrt,52.348517620447645,4.860628099954581,Bar
13465,Restaurant Zuid,52.345555549935476,4.85923248965425,Restaurant
13467,"Koffieshop ""De Kade""",52.34328779653982,4.863929604035409,Coffee Shop
13470,L'Arena,52.34654005286085,4.868531042125034,Italian Restaurant
13476,De Hut,52.34640129693205,4.86567492116904,Bar
13505,Cafe Kuijper,52.3598752249956,4.925489524664014,Bar
13508,Bar Botanique,52.36340847063478,4.930486754748445,Bar
13509,Burger 'n Shake,52.363549,4.933821,Burger Joint
13510,KNUS,52.36038707964888,4.925126491987584,Café
13513,Hartje Oost,52.363627493087186,4.932514806532603,Coffee Shop
13519,Café Ruk & Pluk,52.35752379427068,4.926805217999056,Café
13523,Burger 'n Shake,52.357003,4.927439,Burger Joint
13527,Osteria Nessun Dorma,52.355387,4.933721,Italian Restaurant
13529,Anne&Max,52.374618631319464,4.9350329207029455,Coffee Shop
13536,Baretto,52.371179,4.931153,Café
13537,Barmhartig,52.374049,4.938758,Coffee Shop
13538,"Olie & zo, eten & drinken",52.371625,4.930932,Restaurant
13548,Mondo Mediterraneo,52.37111131381326,4.93141626333565,Italian Restaurant
13549,Rosa & Rita,52.37196991265497,4.931231571639581,Restaurant
13553,Coffee and Friends,52.370648649765826,4.930235114714406,Coffee Shop
13560,Café De Zuid,52.3764652664262,4.93774822007186,Bar
13561,Lloyd Café - Restaurant,52.374212,4.93479,Café
13564,Einde Van de Wereld,52.37708033843872,4.932314149510947,Restaurant
13566,Domino's pizza,52.37367993393179,4.937944831111622,Pizza Place
13585,Joost,52.36499687646916,4.939657594552207,Bar
13588,Qahwa d'Or,52.36352618652301,4.940066074412326,Coffee Shop
13592,De jonge admiraal,52.36385584567928,4.938439949274532,Coffee Shop
13593,Superette,52.3633711030755,4.939713677867356,Café
13596,Coffeecompany,52.36404398045693,4.939334929701676,Coffee Shop
13604,Het Badhuis,52.36366320461155,4.93974808090203,Restaurant
13623,Espressofabriek IJburg,52.35193005921803,5.001611462434952,Coffee Shop
13625,Firma Koek,52.35315085718327,5.005676898310497,Restaurant
13628,Pizza Heart,52.352053658197036,5.007634557496041,Pizza Place
13641,"The Lobby, Fizeaustraat",52.34542439900525,4.925503247301483,French Restaurant
13649,Café-Restaurant Dauphine,52.34849054831966,4.917228572877027,French Restaurant
13650,House of Watt,52.34951588594552,4.922106126946444,Restaurant
13653,Starbucks,52.34665355873868,4.91797850350012,Coffee Shop
13654,Julia's,52.3466754778035,4.91818253493216,Italian Restaurant
13656,Blooker,52.34443740006695,4.917248350955277,Restaurant
13658,Mooye Cafe Leeuwenburg,52.34587401397253,4.916226827717577,Coffee Shop
13659,"The Lobby, Fizeaustraat",52.34542439900525,4.925503247301483,French Restaurant
13664,L'Osteria,52.341042012280326,4.918081813491826,Italian Restaurant
13666,Starbucks,52.34665355873868,4.91797850350012,Coffee Shop
13667,Julia's,52.3466754778035,4.91818253493216,Italian Restaurant
13669,Blooker,52.34443740006695,4.917248350955277,Restaurant
13671,Brazuca,52.347206,4.9194636,Coffee Shop
13675,Mooye Cafe Leeuwenburg,52.34587401397253,4.916226827717577,Coffee Shop
13678,Pompet,52.395151,4.920807,Café
13698,Café 't Sluisje,52.39113428735043,4.938363275776638,Bar
13715,Pompet,52.395151,4.920807,Café
13766,Collectieve Ruimte Grubbehoeve,52.322024028730375,4.978377347599547,Bar
13768,Meram Burger,52.32403210013022,4.975254416808778,Burger Joint
13791,Collectieve Ruimte Grubbehoeve,52.322024028730375,4.978377347599547,Bar
13794,Meram Burger,52.32403210013022,4.975254416808778,Burger Joint
13797,Bar Spek,52.370078,4.864525,Bar
13798,Rotisserie,52.370306,4.867719,Burger Joint
13799,Faam,52.37177098096948,4.862525448869058,Italian Restaurant
13800,Pazzi Amsterdam,52.37013020523961,4.867244782589529,Pizza Place
13803,Local Hero,52.3749466679783,4.860697960902276,Café
13809,Monks Coffee Roasters,52.371176346080155,4.870409989153434,Coffee Shop
13811,FIKO,52.370523,4.868961,Italian Restaurant
13813,Hendrix Bar & Restaurant,52.370697,4.868641,Bar
13816,Café Binnenvisser,52.37159959621643,4.870584256099729,Café
13819,Cantinetta wine & pasta,52.37012516091521,4.866599766019809,Italian Restaurant
13827,Karakter,52.370596054677584,4.868948053912144,Bar
13831,Thuys,52.369892,4.865381,Bar
13837,Five Brothers Fat,52.37086564666427,4.869789915202324,Bar
13838,H.Burger,52.3700442994959,4.865935049021704,Burger Joint
13851,Cheech & Chong's 2e,52.371201265438664,4.871406893588667,Coffee Shop
13853,Local Hero,52.3749466679783,4.860697960902276,Café
13859,Faam,52.37177098096948,4.862525448869058,Italian Restaurant
13865,Bar Spek,52.370078,4.864525,Bar
13869,Café Sportpark,52.37464994917817,4.857798224678057,Bar
13873,Nelis,52.369105,4.858874,Restaurant
13879,Cantinetta wine & pasta,52.37012516091521,4.866599766019809,Italian Restaurant
13883,Thuys,52.369892,4.865381,Bar
13885,H.Burger,52.3700442994959,4.865935049021704,Burger Joint
13893,Local Hero,52.3749466679783,4.860697960902276,Café
13902,Café Sportpark,52.37464994917817,4.857798224678057,Bar
13909,Pera Grillroom,52.370773620211345,4.854140136003913,Restaurant
13910,White Label Coffee,52.37034595823542,4.851584285609294,Coffee Shop
13911,Faam,52.37177098096948,4.862525448869058,Italian Restaurant
13913,Nelis,52.369105,4.858874,Restaurant
13917,Bar Baarsch,52.370552796711834,4.853709888942442,Bar
13926,Buongiorno Espressobar,52.370308480310655,4.8518943429810335,Café
13931,Bar Spek,52.370078,4.864525,Bar
13933,Nelis,52.369105,4.858874,Restaurant
13935,Faam,52.37177098096948,4.862525448869058,Italian Restaurant
13936,Spaghetteria,52.368238993299144,4.866247590473278,Italian Restaurant
13939,Pazzi Amsterdam,52.37013020523961,4.867244782589529,Pizza Place
13943,Rotisserie,52.370306,4.867719,Burger Joint
13953,Cantinetta wine & pasta,52.37012516091521,4.866599766019809,Italian Restaurant
13957,FIKO,52.370523,4.868961,Italian Restaurant
13959,Bar Bistro Belleami,52.366079,4.861803,Bar
13960,Thuys,52.369892,4.865381,Bar
13962,Café De Kwaker (Janna),52.36831281638467,4.868160726347815,Bar
13964,Hendrix Bar & Restaurant,52.370697,4.868641,Bar
13971,H.Burger,52.3700442994959,4.865935049021704,Burger Joint
13973,Karakter,52.370596054677584,4.868948053912144,Bar
13975,Grand Café Piri Reis,52.365744427269284,4.860866834024517,Café
13982,Nelis,52.369105,4.858874,Restaurant
13990,Pera Grillroom,52.370773620211345,4.854140136003913,Restaurant
13992,White Label Coffee,52.37034595823542,4.851584285609294,Coffee Shop
13994,Bar Spek,52.370078,4.864525,Bar
13998,Faam,52.37177098096948,4.862525448869058,Italian Restaurant
13999,Bar Baarsch,52.370552796711834,4.853709888942442,Bar
14006,Zurich,52.36951084189358,4.851021111202159,Bar
14013,Ice and Bites,52.369745752002295,4.8509969463185545,Pizza Place
14020,Buongiorno Espressobar,52.370308480310655,4.8518943429810335,Café
14028,Meneer de Wit Heeft Honger,52.365029120145756,4.859565084751235,Restaurant
14031,Bar Bistro Belleami,52.366079,4.861803,Bar
14032,Het Sieraad | De Vierde Ambachtsschool,52.364526572638084,4.859101444836802,French Restaurant
14037,Nelis,52.369105,4.858874,Restaurant
14038,Spaghetteria,52.368238993299144,4.866247590473278,Italian Restaurant
14044,Doppio Espresso,52.36590975737385,4.867520526334434,Café
14048,Bar Spek,52.370078,4.864525,Bar
14057,Cafe Panache,52.365659,4.867905,Restaurant
14060,Trakteren,52.36263487680774,4.864081216050299,Coffee Shop
