,Venue,Venue Latitude,Venue Longitude,Venue Category
8705,SOTTO - Pizza Legàle,52.3528900195878,4.8561415469808535,Pizza Place
8706,Scottadito Specialita,52.35299722936886,4.856179434060544,Italian Restaurant
8712,Restaurant Zuid,52.345555549935476,4.85923248965425,Restaurant
8720,Borrelbar,52.34471160822406,4.85788510398831,Bar
8721,Marathonweg Restaurant,52.3485413,4.8609847,Restaurant
8723,Café Kiebêrt,52.348517620447645,4.860628099954581,Bar
8725,Spaghetteria Olympiaplein,52.34620309395684,4.8670930699232695,Italian Restaurant
8732,Jose Mollura,52.348524776013534,4.85758678861893,Coffee Shop
8735,L'Arena,52.34654005286085,4.868531042125034,Italian Restaurant
8739,Restaurant Zuid,52.345555549935476,4.85923248965425,Restaurant
8741,Biscuit,52.352866767966724,4.863740640750709,Coffee Shop
8742,De Hut,52.34640129693205,4.86567492116904,Bar
8752,The Coffee District,52.351541,4.860322,Coffee Shop
8754,Marathonweg Restaurant,52.3485413,4.8609847,Restaurant
8756,Café Kiebêrt,52.348517620447645,4.860628099954581,Bar
8762,Spaghetteria Olympiaplein,52.34620309395684,4.8670930699232695,Italian Restaurant
8763,Stach Stadionplein,52.343980463165856,4.857304484498252,Coffee Shop
8764,Jose Mollura,52.348524776013534,4.85758678861893,Coffee Shop
8766,Bar Alt,52.34419,4.857705799999962,Restaurant
8773,Restaurant Zuid,52.345555549935476,4.85923248965425,Restaurant
8774,Jack Dish,52.34432617869033,4.858369304510183,Café
8783,L'Arena,52.34654005286085,4.868531042125034,Italian Restaurant
8788,"Koffieshop ""De Kade""",52.34328779653982,4.863929604035409,Coffee Shop
8789,De Hut,52.34640129693205,4.86567492116904,Bar
8802,Borrelbar,52.34471160822406,4.85788510398831,Bar
8806,Coffee Company,52.34744382063845,4.8767943971621,Café
8810,Ferilli’s,52.350074,4.878131,Italian Restaurant
8820,Starbucks,52.34924643340836,4.877431666712979,Coffee Shop
8824,Bar Kaspar,52.347,4.876678,Restaurant
8841,Café Water,52.349827927117666,4.886807834055707,Bar
8843,Ferilli’s,52.350074,4.878131,Italian Restaurant
8847,Coffee Company,52.34744382063845,4.8767943971621,Café
8855,Starbucks,52.34924643340836,4.877431666712979,Coffee Shop
8858,Bar Kaspar,52.347,4.876678,Restaurant
8873,Ferilli’s,52.350074,4.878131,Italian Restaurant
8880,Verhulst,52.354478674499944,4.872016424512857,Bar
8882,Bellavista,52.35388,4.8694448,Italian Restaurant
8885,Roberto's Restaurant,52.35139264411052,4.871466165546254,Italian Restaurant
8886,Valerius Eten & Drinken,52.355389655974335,4.873670468435905,Restaurant
8893,Restaurant Oud-Zuid,52.355078184029715,4.874046454445445,Restaurant
8903,Ferilli’s,52.350074,4.878131,Italian Restaurant
8904,Coffee Company,52.34744382063845,4.8767943971621,Café
8912,Roberto's Restaurant,52.35139264411052,4.871466165546254,Italian Restaurant
8918,L'Arena,52.34654005286085,4.868531042125034,Italian Restaurant
8925,Coffee Company,52.34744382063845,4.8767943971621,Café
8931,Spaghetteria Olympiaplein,52.34620309395684,4.8670930699232695,Italian Restaurant
8933,Ferilli’s,52.350074,4.878131,Italian Restaurant
8939,L'Arena,52.34654005286085,4.868531042125034,Italian Restaurant
8944,Roberto's Restaurant,52.35139264411052,4.871466165546254,Italian Restaurant
8950,De Hut,52.34640129693205,4.86567492116904,Bar
8954,Spaghetteria Olympiaplein,52.34620309395684,4.8670930699232695,Italian Restaurant
8956,Coffee Company,52.34744382063845,4.8767943971621,Café
8964,L'Arena,52.34654005286085,4.868531042125034,Italian Restaurant
8970,Bar Kaspar,52.347,4.876678,Restaurant
8972,De Hut,52.34640129693205,4.86567492116904,Bar
8991,l'Angolo,52.346856875199514,4.891152933316222,Italian Restaurant
8993,Coffee Company,52.34648497233413,4.891092881885748,Coffee Shop
8999,Orbit Restaurant & Lounge,52.34497710323541,4.890876186942079,Restaurant
9001,Ciel Bleu Restaurant,52.3487171934699,4.893712157600433,French Restaurant
9009,Il Cavallino,52.3452526,4.8951167,Italian Restaurant
9018,Serre Restaurant,52.348537351989314,4.893825184793743,French Restaurant
9025,'t Vliegertje,52.34532509879611,4.890922441312607,Restaurant
9027,Mangiamore,52.34741724183126,4.895239571553623,Italian Restaurant
9032,De Overkant B.V.,52.3447492973993,4.890875828714276,Restaurant
9034,Café Lust,52.35068008743742,4.888971928388887,Bar
9036,Knabbel En Babbel,52.342766026397975,4.892267992883576,Café
9042,Café The Corner,52.344584495321165,4.890665860557149,Café
9045,Café Klasen,52.34583130410822,4.895009238629522,Café
9046,Pizzeria Sicilia,52.34526314673333,4.890900049033109,Pizza Place
9055,Café Water,52.349827927117666,4.886807834055707,Bar
9060,Il Cavallino,52.3452526,4.8951167,Italian Restaurant
9080,30ML Coffee Roasters,52.34239,4.8926272,Coffee Shop
9082,Orbit Restaurant & Lounge,52.34497710323541,4.890876186942079,Restaurant
9084,Toetanchamon,52.34238396271583,4.892330565504126,Restaurant
9086,l'Angolo,52.346856875199514,4.891152933316222,Italian Restaurant
9088,Coffee Company,52.34648497233413,4.891092881885748,Coffee Shop
9089,Ciel Bleu Restaurant,52.3487171934699,4.893712157600433,French Restaurant
9096,Mangiamore,52.34741724183126,4.895239571553623,Italian Restaurant
9103,Broers,52.344265,4.9008555,Café
9105,Serre Restaurant,52.348537351989314,4.893825184793743,French Restaurant
9107,Café Blek,52.34594044533849,4.899766202437229,Café
9110,'t Vliegertje,52.34532509879611,4.890922441312607,Restaurant
9112,Knabbel En Babbel,52.342766026397975,4.892267992883576,Café
9114,De Overkant B.V.,52.3447492973993,4.890875828714276,Restaurant
9116,Restaurant Vandaag,52.34039052329936,4.892688616855562,Restaurant
9123,Café Klasen,52.34583130410822,4.895009238629522,Café
9126,Café The Corner,52.344584495321165,4.890665860557149,Café
9129,Pizzeria Sicilia,52.34526314673333,4.890900049033109,Pizza Place
9136,Il Cavallino,52.3452526,4.8951167,Italian Restaurant
9143,Broers,52.344265,4.9008555,Café
9146,Café Blek,52.34594044533849,4.899766202437229,Café
9154,Mangiamore,52.34741724183126,4.895239571553623,Italian Restaurant
9155,30ML Coffee Roasters,52.34239,4.8926272,Coffee Shop
9156,Toetanchamon,52.34238396271583,4.892330565504126,Restaurant
9158,De Rijncantine,52.343792612072306,4.905234198898949,Café
9159,i Trulli,52.34454382375214,4.9058875835059785,Italian Restaurant
9161,Knabbel En Babbel,52.342766026397975,4.892267992883576,Café
9162,Café Klasen,52.34583130410822,4.895009238629522,Café
9181,Broers,52.344265,4.9008555,Café
9182,Vascobelo,52.343865277542804,4.90625175795283,Coffee Shop
9187,Café Blek,52.34594044533849,4.899766202437229,Café
9191,De Rijncantine,52.343792612072306,4.905234198898949,Café
9193,i Trulli,52.34454382375214,4.9058875835059785,Italian Restaurant
9195,La Maria,52.343971952671154,4.907247994491888,Italian Restaurant
9196,Brazuca Coffee,52.347977,4.904318,Coffee Shop
9200,Bar Bouwmeester,52.34733,4.9045715,Café
